date,open,high,low,close,adj_close,volume,ticker,arima_1d,prophet_1d,xgb_1d,lstm_1d,arima_5d,prophet_5d,xgb_5d,lstm_5d,meta_pred_5d,confidence,created_at
1/2/2025,248.92999267578125,249.10000610351562,241.82000732421875,243.85000610351562,242.7521209716797,55740700,AAPL,,,,,,,,,,,
1/3/2025,243.36000061035156,244.17999267578125,241.88999938964844,243.36000061035156,242.26431274414062,40244100,AAPL,,,,,,,,,,,
1/6/2025,244.30999755859375,247.3300018310547,243.1999969482422,245,243.89691162109375,45045600,AAPL,,,,,,,,,,,
1/7/2025,242.97999572753906,245.5500030517578,241.35000610351562,242.2100067138672,241.11949157714844,40856000,AAPL,,,,,,,,,,,
1/8/2025,241.9199981689453,243.7100067138672,240.0500030517578,242.6999969482422,241.6072540283203,37628900,AAPL,,,,,,,,,,,
1/10/2025,240.00999450683594,240.16000366210938,233,236.85000610351562,235.7836151123047,61710900,AAPL,,,,,,,,,,,
1/13/2025,233.52999877929688,234.6699981689453,229.72000122070312,234.39999389648438,233.34463500976562,49630700,AAPL,,,,,,,,,,,
1/14/2025,234.75,236.1199951171875,232.47000122070312,233.27999877929688,232.22967529296875,39435300,AAPL,,,,,,,,,,,
1/15/2025,234.63999938964844,238.9600067138672,234.42999267578125,237.8699951171875,236.7989959716797,39832000,AAPL,,,,,,,,,,,
1/16/2025,237.35000610351562,238.00999450683594,228.02999877929688,228.25999450683594,227.2322998046875,71759100,AAPL,,,,,,,,,,,
1/17/2025,232.1199951171875,232.2899932861328,228.47999572753906,229.97999572753906,228.9445343017578,68488300,AAPL,,,,,,,,,,,
1/21/2025,224,224.4199981689453,219.3800048828125,222.63999938964844,221.63758850097656,98070400,AAPL,,,,,,,,,,,
1/22/2025,219.7899932861328,224.1199951171875,219.7899932861328,223.8300018310547,222.8222198486328,64126500,AAPL,,,,,,,,,,,
1/23/2025,224.74000549316406,227.02999877929688,222.3000030517578,223.66000366210938,222.6529998779297,60234800,AAPL,,,,,,,,,,,
1/24/2025,224.77999877929688,225.6300048828125,221.41000366210938,222.77999877929688,221.77694702148438,54697900,AAPL,,,,,,,,,,,
1/27/2025,224.02000427246094,232.14999389648438,223.97999572753906,229.86000061035156,228.82508850097656,94863400,AAPL,,,,,,,,,,,
1/28/2025,230.85000610351562,240.19000244140625,230.80999755859375,238.25999450683594,237.1872559,75707600,AAPL,,,,,,,,,,,
1/29/2025,234.1199951171875,239.86000061035156,234.00999450683594,239.36000061035156,238.28231811523438,45486100,AAPL,,,,,,,,,,,
1/30/2025,238.6699981689453,240.7899932861328,237.2100067138672,237.58999633789062,236.5202637,55658300,AAPL,,,,,,,,,,,
1/31/2025,247.19000244140625,247.19000244140625,233.44000244140625,236,234.93743896484375,100959800,AAPL,,,,,,,,,,,
2/3/2025,229.99000549316406,231.8300018310547,225.6999969482422,228.00999450683594,226.98341369628906,73063300,AAPL,,,,,,,,,,,
2/4/2025,227.25,233.1300048828125,226.64999389648438,232.8000030517578,231.75184631347656,45067300,AAPL,,,,,,,,,,,
2/5/2025,228.52999877929688,232.6699981689453,228.27000427246094,232.47000122070312,231.42332458496094,39620300,AAPL,,,,,,,,,,,
2/6/2025,231.2899932861328,233.8000030517578,230.42999267578125,233.22000122070312,232.16995239257812,29925300,AAPL,,,,,,,,,,,
2/7/2025,232.60000610351562,234,227.25999450683594,227.6300048828125,226.60511779785156,39707200,AAPL,,,,,,,,,,,
2/10/2025,229.57000732421875,230.58999633789062,227.1999969482422,227.64999389648438,226.8741912841797,33115600,AAPL,,,,,,,,,,,
2/11/2025,228.1999969482422,235.22999572753906,228.1300048828125,232.6199951171875,231.8272705078125,53718400,AAPL,,,,,,,,,,,
2/12/2025,231.1999969482422,236.9600067138672,230.67999267578125,236.8699951171875,236.06277465820312,45243300,AAPL,,,,,,,,,,,
2/13/2025,236.91000366210938,242.33999633789062,235.57000732421875,241.52999877929688,240.70689392089844,53614100,AAPL,,,,,,,,,,,
